customerId;firstName;lastName;contact;email;status;dob;gender;createdAt
1;"Stone";"Aguilar";"16611128 7634";"tortor.at.risus@loremtristique.com";"N";"1986-10-02";"m";"2021-06-13 10:40:53"
2;"Wang";"Silva";"16840311 3999";"diam@facilisisegetipsum.co.uk";"Y";"1986-10-02";"m";"2022-07-14 06:05:38"
3;"Ivan";"Willis";"16070425 6072";"in.cursus.et@lacusCrasinterdum.edu";"Y";"1986-10-02";"f";"2022-03-02 23:53:43"
4;"Deacon";"Barker";"16741113 5762";"neque.venenatis@turpisegestasFusce.net";"N";"1986-10-02";"f";"2021-08-12 20:16:34"
5;"Zelenia";"Emerson";"16610124 6129";"enim.commodo@Nunc.edu";"N";"1986-10-02";"f";"2021-10-15 01:35:13"
6;"Nash";"Pugh";"16600328 6074";"ut.ipsum@sempercursusInteger.co.uk";"Y";"1986-10-02";"m";"2021-09-05 03:59:15"
7;"Hayes";"Moran";"16130616 7006";"orci.adipiscing.non@imperdieteratnonummy.ca";"Y";"1986-10-02";"f";"2020-12-21 10:59:38"
8;"Holmes";"Meyers";"16070526 6013";"penatibus.et.magnis@hendreritDonecporttitor.co.uk";"Y";"1986-10-02";"m";"2020-12-30 11:16:57"
9;"Kaye";"Caldwell";"16800111 1569";"feugiat.tellus.lorem@vitaealiquameros.com";"N";"1986-10-02";"m";"2021-01-26 02:39:36"
10;"Warren";"Conway";"16680104 3701";"Morbi.sit@Nullam.co.uk";"N";"1986-10-02";"f";"2022-04-08 06:44:46"
11;"Allegra";"Mcpherson";"16540228 1512";"Suspendisse@nunc.ca";"Y";"1986-10-02";"m";"2020-12-09 17:17:11"
12;"Hop";"Armstrong";"16890403 6327";"Vestibulum.accumsan@seddictumeleifend.ca";"N";"1986-10-02";"f";"2020-09-11 01:59:21"
13;"Hannah";"Wall";"16700322 3984";"Nulla@semperrutrumFusce.net";"N";"1986-10-02";"f";"2021-01-18 00:39:32"
14;"Abdul";"Lancaster";"16701123 5574";"rutrum.lorem.ac@Quisque.net";"Y";"1986-10-02";"m";"2022-08-16 03:02:11"
15;"Dennis";"Hardy";"16871107 5823";"pede@ultricesiaculisodio.co.uk";"Y";"1986-10-02";"f";"2022-04-07 18:39:28"
16;"Emi";"Mullins";"16970623 2320";"In.ornare@mienimcondimentum.ca";"N";"1986-10-02";"f";"2022-08-21 15:09:38"
17;"Allen";"Maynard";"16760824 1043";"enim.nisl@tincidunt.net";"N";"1986-10-02";"m";"2021-03-05 08:51:28"
18;"Melodie";"Boyer";"16640303 1534";"sit.amet.luctus@Aliquamauctorvelit.net";"N";"1986-10-02";"f";"2021-02-15 12:42:45"
19;"Kermit";"Bird";"16230719 3884";"malesuada@pharetra.net";"N";"1986-10-02";"f";"2022-01-18 20:17:38"
20;"Tanek";"Rogers";"16360315 8985";"lorem.sit@Maurisutquam.org";"Y";"1986-10-02";"f";"2021-12-29 05:07:52"
21;"Regina";"Tanner";"16710106 9941";"dui.Fusce.aliquam@amalesuada.edu";"Y";"1986-10-02";"m";"2022-04-22 16:13:24"
22;"Cara";"Singleton";"16461029 8889";"Morbi.quis.urna@sitamet.org";"Y";"1986-10-02";"m";"2022-05-22 03:38:47"
23;"Brendan";"Schneider";"16000520 4763";"risus.Nulla.eget@Proinvel.edu";"N";"1986-10-02";"f";"2020-11-15 02:16:41"
24;"Reece";"Finch";"16581216 8796";"lobortis@dictumcursusNunc.org";"N";"1986-10-02";"f";"2021-01-24 16:28:02"
25;"Keiko";"Browning";"16730227 5784";"magnis.dis.parturient@sodalesMauris.org";"Y";"1986-10-02";"m";"2022-02-01 03:53:43"
26;"Chandler";"Russell";"16681001 9999";"amet.luctus.vulputate@ligula.edu";"Y";"1986-10-02";"f";"2020-09-28 16:42:49"
27;"Keaton";"Terry";"16690903 3315";"lacinia@nunc.edu";"N";"1986-10-02";"f";"2021-05-07 06:50:41"
28;"Cooper";"Mendoza";"16810417 7004";"tristique.aliquet@Suspendisseacmetus.co.uk";"Y";"1986-10-02";"f";"2021-05-25 14:04:11"
29;"Preston";"Rivas";"16940212 5562";"vulputate.risus@ornare.edu";"N";"1986-10-02";"f";"2021-08-01 18:30:52"
