_id,avg_rating,contact,currentDelivery.city,currentDelivery.houseNumber,currentDelivery.locationId,currentDelivery.state,currentDelivery.streetName,currentDelivery.streetNumber,dob,firstName,gender,lastName,locationId,status,vehicle.type,vehicle.vehicleNumber
1,null,16020612 1568,Bangkok,79,22,AST,"P.O. Box 274, 6434 Habitant Avenue",48118-081,1989-11-19T08:00:00.000Z,Roth,m,Mcdaniel,22,N,4 Wheeler,53806333899
2,2,16540907 3227,Bangkok,626,82,Berlin,Ap #713-4020 Consectetuer Avenue,1629 LS,1990-08-27T07:00:00.000Z,Madonna,f,Rosales,82,Y,Cycle,36795610699
3,null,16030213 6973,Bangkok,247,76,North Island,282-2881 Morbi Av.,62245-041,1990-05-30T07:00:00.000Z,Rashad,f,Petty,76,N,2 Wheeler,58950189099
4,null,16181108 4308,Bangkok,416,24,NI,2382 Leo. Road,98800,1997-04-05T08:00:00.000Z,Allegra,m,Huber,24,Y,2 Wheeler,86643929999
5,5,16981002 9067,Bangkok,423,45,MI,"P.O. Box 296, 6294 Pellentesque Rd.",01251,1977-03-20T08:00:00.000Z,Jenna,f,Donaldson,45,Y,4 Wheeler,80434680099
6,4,16780519 0084,Bangkok,801,5,Yukon,"Ap #636-7151 Ut, Avenue",426059,1992-04-04T08:00:00.000Z,Grady,m,Howe,5,N,4 Wheeler,99855580599
7,2,16070217 5183,Bangkok,669,26,Maule,"P.O. Box 251, 2655 Purus Ave",5209,1993-05-26T07:00:00.000Z,Jaime,f,Lang,26,N,4 Wheeler,11458218499
8,null,16990819 4112,Bangkok,515,97,Pays de la Loire,Ap #854-1503 Urna Rd.,Z7754,1997-05-31T07:00:00.000Z,Zelenia,f,Puckett,97,N,2 Wheeler,61493297799
9,null,16340408 4364,Bangkok,659,41,ST,"P.O. Box 641, 6168 Risus. Avenue",988856,1979-06-12T07:00:00.000Z,August,f,Juarez,41,N,4 Wheeler,50314398899
10,4,16500814 4312,Bangkok,801,5,Yukon,"Ap #636-7151 Ut, Avenue",426059,1988-04-18T07:00:00.000Z,Chester,f,Sawyer,5,N,4 Wheeler,12506799599
11,null,16901112 6316,Bangkok,934,28,Wiltshire,109-2313 Sed Road,BS9L 2YQ,1976-12-09T08:00:00.000Z,Ava,f,Boyle,28,Y,2 Wheeler,53943464799
12,5,16720401 9686,Bangkok,80,40,AB,"P.O. Box 447, 6007 Sem. Ave",3304,1989-03-10T08:00:00.000Z,Hilel,f,Lang,40,Y,Cycle,27519084599
13,3,16450420 9695,Bangkok,738,53,Wie,"P.O. Box 213, 2256 Aliquam Rd.",495021,1981-03-07T08:00:00.000Z,Jocelyn,f,Graham,53,N,4 Wheeler,14499973499
14,4,16220826 0881,Bangkok,155,55,Noord Brabant,Ap #383-9931 Tincidunt Rd.,67077-66043,1981-03-17T08:00:00.000Z,Jessica,f,Perez,55,N,4 Wheeler,59966513599
15,3,16200216 6623,Bangkok,899,77,Novgorod Oblast,955-2368 Ac Rd.,V1E 8G7,1987-02-06T08:00:00.000Z,Hiram,m,Emerson,77,N,4 Wheeler,10552474399
16,null,16580120 9288,Bangkok,141,6,Gelderland,"P.O. Box 873, 291 Enim Road",60315,1994-06-25T07:00:00.000Z,Chester,m,Bowman,6,N,4 Wheeler,2998139499
17,4.5,16121017 7919,Bangkok,880,42,NB,"P.O. Box 446, 7626 Volutpat. Street",19507,1996-05-13T07:00:00.000Z,Guinevere,f,Gaines,42,N,4 Wheeler,4698611199
18,4,16780406 7549,Bangkok,626,82,Berlin,Ap #713-4020 Consectetuer Avenue,1629 LS,1981-05-26T07:00:00.000Z,Brenden,f,Rutledge,82,N,2 Wheeler,14266997399
19,4.5,16620510 9751,Bangkok,496,1,Saskatchewan,1864 Rutrum. Street,73432-706,1993-08-22T07:00:00.000Z,Derek,f,Horne,1,Y,2 Wheeler,32629161599
20,3,16390819 3059,Bangkok,895,100,Västra Götalands län,1846 In Street,54785,1994-04-04T07:00:00.000Z,Linda,f,Padilla,100,Y,4 Wheeler,15737219599
21,1,16750314 3070,Bangkok,126,81,BR,"P.O. Box 876, 9988 Nunc Road",50256-607,1989-03-05T08:00:00.000Z,Addison,f,Torres,81,Y,Cycle,28359617199
22,null,16040401 8160,Bangkok,626,82,Berlin,Ap #713-4020 Consectetuer Avenue,1629 LS,1997-02-28T08:00:00.000Z,Josiah,f,Delgado,82,N,4 Wheeler,29997617799
23,null,16881030 5782,Bangkok,125,50,Mazowieckie,463-1310 Facilisis Rd.,41252-83023,1992-07-07T07:00:00.000Z,Jakeem,m,Jacobson,50,Y,Cycle,11346222599
24,3,16540219 6462,Bangkok,669,26,Maule,"P.O. Box 251, 2655 Purus Ave",5209,1991-09-14T07:00:00.000Z,Alvin,m,Griffin,26,Y,2 Wheeler,34581563999
25,null,16850421 8648,Bangkok,61,25,ULY,Ap #148-5889 Fermentum Av.,704323,1997-10-12T07:00:00.000Z,Whoopi,f,Duncan,25,N,4 Wheeler,38288187699
26,null,16511221 2393,Bangkok,223,85,Papua,652-9534 Libero. Ave,0844 GB,1995-07-16T07:00:00.000Z,Logan,m,Nieves,85,N,4 Wheeler,38597344399
27,null,16811028 5072,Bangkok,224,18,AK,408-9041 Mauris Avenue,8587 UU,2000-04-18T07:00:00.000Z,Berk,f,Good,18,Y,Cycle,79340680599
28,4,16550320 2953,Bangkok,349,57,SK,3511 Tempor St.,51817,1991-05-13T07:00:00.000Z,Roanna,f,Espinoza,57,N,Cycle,50813115699
29,2,16720221 0733,Bangkok,682,20,WA,342-2255 Sed Rd.,11997-41622,1979-05-15T07:00:00.000Z,Dahlia,f,Pena,20,Y,4 Wheeler,5580552899
30,2,16761119 8628,Bangkok,801,5,Yukon,"Ap #636-7151 Ut, Avenue",426059,1997-10-02T07:00:00.000Z,Russell,m,Glass,5,Y,Cycle,20994805899
31,4.5,16150527 0320,Bangkok,176,17,W,"P.O. Box 294, 2275 Sapien. Road",28-710,2000-04-03T07:00:00.000Z,Adam,f,Burch,17,N,Cycle,91772752299
32,3.5,16421003 2878,Bangkok,804,12,Nord-Pas-de-Calais,6233 Suspendisse St.,143351,1995-07-31T07:00:00.000Z,Wylie,m,Duran,12,N,Cycle,92641615199
33,5,16070609 0479,Bangkok,895,100,Västra Götalands län,1846 In Street,54785,1995-06-10T07:00:00.000Z,Hunter,m,Owens,100,N,4 Wheeler,63691713499
34,null,16580528 4147,Bangkok,125,50,Mazowieckie,463-1310 Facilisis Rd.,41252-83023,1998-12-24T08:00:00.000Z,Elijah,m,Sutton,50,N,Cycle,93754523599
35,null,16050122 1576,Bangkok,819,14,AB,Ap #770-3826 Ac St.,H98 4AX,1979-09-05T07:00:00.000Z,Oren,f,Fitzgerald,14,Y,4 Wheeler,62526323299
36,null,16980110 5454,Bangkok,533,86,CA,885-2353 Diam Rd.,70783,1995-05-31T07:00:00.000Z,Scarlett,f,Garrison,86,N,Cycle,98298718599
37,2,16270605 0917,Bangkok,894,13,SO,"P.O. Box 665, 5475 Interdum. St.",19048,1980-11-16T08:00:00.000Z,Nolan,m,Jefferson,13,Y,Cycle,37319085499
38,3.5,16311105 0385,Bangkok,141,6,Gelderland,"P.O. Box 873, 291 Enim Road",60315,1993-01-17T08:00:00.000Z,Burke,f,Kelley,6,N,4 Wheeler,86274886899
39,3,16590324 7822,Bangkok,61,25,ULY,Ap #148-5889 Fermentum Av.,704323,1991-07-12T07:00:00.000Z,Cora,m,Decker,25,N,4 Wheeler,10559924899
40,null,16721013 3232,Bangkok,544,89,Kirov Oblast,Ap #884-5081 Sed St.,31680,1988-10-08T07:00:00.000Z,Harper,f,Perry,89,Y,2 Wheeler,99501436599
41,2,16250421 8740,Bangkok,830,62,Oyo,1816 Habitant St.,2755,1989-06-14T07:00:00.000Z,Pascale,m,Gamble,62,N,4 Wheeler,28680823399
42,2.5,16460920 1753,Bangkok,895,100,Västra Götalands län,1846 In Street,54785,1984-01-06T08:00:00.000Z,Michael,f,Griffith,100,Y,Cycle,23509607599
43,null,16970805 3005,Bangkok,453,16,RP,733-5508 Enim. Rd.,22855,1993-10-26T07:00:00.000Z,Cherokee,m,Lowe,16,Y,2 Wheeler,21249808499
44,null,16000414 5165,Bangkok,691,56,New South Wales,"P.O. Box 597, 7116 Id St.",358350,1994-05-21T07:00:00.000Z,Darryl,m,Mosley,56,N,Cycle,65336058799
45,null,16470214 2565,Bangkok,544,89,Kirov Oblast,Ap #884-5081 Sed St.,31680,1990-03-18T08:00:00.000Z,Martin,f,Singleton,89,N,2 Wheeler,87286691899
46,5,16131020 9877,Bangkok,614,74,Nevada,"Ap #595-4647 Eu, Avenue",88971,1997-06-17T07:00:00.000Z,Alvin,m,Lambert,74,N,2 Wheeler,78441631699
47,3,16240412 4949,Bangkok,247,76,North Island,282-2881 Morbi Av.,62245-041,1993-11-27T08:00:00.000Z,Claire,m,York,76,Y,Cycle,45666371099
48,5,16081211 6267,Bangkok,699,63,ANT,973-8635 Sed Road,24914,1991-10-25T07:00:00.000Z,Cynthia,f,Delacruz,63,Y,Cycle,59490181399
49,null,16730916 9303,Bangkok,453,16,RP,733-5508 Enim. Rd.,22855,1989-12-31T08:00:00.000Z,Kameko,f,Sanford,16,Y,Cycle,65822368699
50,null,16131223 2240,Bangkok,592,49,PB,"Ap #335-7534 Urna, Av.",H9X 2W0,1989-04-25T07:00:00.000Z,Dustin,f,Nichols,49,N,2 Wheeler,44507476799
51,4,16581118 4497,Bangkok,108,15,Kent,576-7611 Nam Rd.,725085,1994-04-10T07:00:00.000Z,Abraham,m,Powers,15,N,2 Wheeler,48530360499
52,3,16381210 1693,Bangkok,894,13,SO,"P.O. Box 665, 5475 Interdum. St.",19048,1993-01-18T08:00:00.000Z,Randall,f,Crosby,13,Y,2 Wheeler,54228823999
53,4,16771006 9258,Bangkok,336,52,Rio de Janeiro,Ap #581-3556 Ullamcorper Street,66030,1984-03-02T08:00:00.000Z,Cheryl,m,Bass,52,N,2 Wheeler,77737893199
